walking enemies/dodongo.png 4 200 0
0	0	48	48	24	29	3	3
0	48	48	48	24	29	3	3
0	96	48	48	24	29	3	3
0	144	48	48	24	29	3	3

immobilized enemies/dodongo.png 4 0 -1
0	0	48	48	24	29	1	1
0	48	48	48	24	29	1	1
0	96	48	48	24	29	1	1
0	144	48	48	24	29	1	1

shaking enemies/dodongo.png 4 50 0
144	0	48	48	24	29	2	2
144	48	48	48	24	29	2	2
144	96	48	48	24	29	2	2
144	144	48	48	24	29	2	2

hurt enemies/dodongo.png 4 50 0
240	0	48	48	24	29	1	1
240	48	48	48	24	29	1	1
240	96	48	48	24	29	1	1
240	144	48	48	24	29	1	1

