walking enemies/poe.png 4 200 0
128	40	32	40	16	21	4	4
0	0	32	40	16	21	4	4
128	0	32	40	16	21	4	4
0	40	32	40	16	21	4	4

immobilized enemies/poe.png 4 0 -1
128	40	32	40	16	21	1	1
0	0	32	40	16	21	1	1
128	0	32	40	16	21	1	1
0	40	32	40	16	21	1	1

shaking enemies/poe.png 4 50 0
128	40	32	40	16	21	2	2
0	0	32	40	16	21	2	2
128	0	32	40	16	21	2	2
0	40	32	40	16	21	2	2

hurt enemies/poe.png 4 50 0
224	80	32	40	16	21	1	1
160	80	32	40	16	21	1	1
192	80	32	40	16	21	1	1
128	80	32	40	16	21	1	1

